4001 NOR gate IC,four 2 input NOR gate IC,40,0|1
4008 4-bit binary full adder IC,4-bit binary full adder IC,28,0|1
4011 NAND gate IC,four two input NAND gate IC,70,0|1
4012 4 input NAND gate IC,4012 4 input NAND gate IC,5,0|1
4013 D-type flip-flop IC,desc,6,0|1
4015 Two 4-bit shift register IC,Two 4-bit shift register IC,30,0|1
4016 Quad Bilateral switch,Quad Bilateral switch,12,0
4017 Divide by 10 synchronus counter,divide by 10 synchronus counter,2,0|1
4021 8-bit shift register,8bit shift register,5,0|1
4023 3 input NAND gate,three 3 input NAND gate IC,40,0
4024 Binary ripple counter,7 -stage binary ripple counter IC,50,0
4026 Decade Counter with 7 Segment Driver,decade counter with 7-segment driver,7,0|1
4027 JK flipflop,JK flipflop,5,0
